pmt,nentries,mu,emu,q,eq,sigma,esigma,amplitude,eamplitude,chi2,ndf,fitstatus
230,2264,0.402516,0.051285,0.408918,0.026818,0.212318,0.017612,231.433884,25.668491,48.209965,35,0
231,2260,0.343112,0.037209,0.448058,0.015658,0.187904,0.011896,242.244125,24.298567,47.362488,35,0
232,1879,0.299691,0.040532,0.465882,0.017887,0.209131,0.014069,231.889130,29.368248,32.091866,32,0
233,3000,0.368429,0.036019,0.428418,0.016129,0.180744,0.012154,265.944397,24.367441,53.237568,36,0
234,2179,0.223043,0.029126,0.480394,0.013347,0.186484,0.010478,301.027008,37.827183,44.946877,35,0
235,1993,0.335446,0.048903,0.439926,0.024516,0.218794,0.017881,210.338760,28.434101,47.942905,33,0
236,2399,0.312307,0.028404,0.470623,0.010614,0.162973,0.007789,237.592621,20.411924,55.687214,35,0
237,2167,0.344300,0.034745,0.460061,0.011986,0.174435,0.009895,230.214478,21.928001,37.248810,35,0
238,2369,0.290670,0.032326,0.473974,0.014876,0.194610,0.011364,280.873016,29.495363,63.597996,36,0
239,2290,0.270749,0.033884,0.472076,0.017202,0.213045,0.012379,307.560730,35.949230,51.350018,35,0
240,2327,0.326050,0.037895,0.481772,0.015646,0.201047,0.011640,218.824936,23.290215,44.123615,36,0
241,2300,0.279017,0.036669,0.433020,0.021170,0.204400,0.013790,308.137177,38.081894,57.054367,35,0
242,2300,0.273739,0.036561,0.443472,0.017833,0.206471,0.013864,292.038788,37.031906,62.532097,36,0
243,2450,0.291831,0.028174,0.479465,0.010959,0.179069,0.008112,276.805725,25.566557,81.307823,35,0
244,2232,0.364303,0.041007,0.480511,0.016892,0.210116,0.013543,220.968353,22.804779,41.261894,36,0
245,5962,0.370591,0.045976,0.486405,0.019899,0.227365,0.016504,200.695877,22.630228,42.002766,36,0
246,2257,0.361679,0.043381,0.468120,0.018580,0.222167,0.015518,241.772842,26.528217,42.999153,36,0
247,2156,0.501457,0.045716,0.453192,0.016548,0.184097,0.012028,161.415802,12.730944,52.044312,35,0
248,140,0.100000,0.045716,0.800000,0.016548,0.300000,0.012028,25.600000,12.730944,52.044312,35,-1
249,2366,0.337701,0.038328,0.489469,0.016559,0.220315,0.013152,252.006058,26.023211,59.440651,36,0
250,2348,0.361985,0.049818,0.445018,0.026706,0.246277,0.020125,266.634613,33.828629,42.569992,36,0
251,2134,0.361806,0.038989,0.471795,0.016944,0.204002,0.011683,214.792969,20.696987,46.551571,35,0
252,2385,0.253356,0.038241,0.474942,0.018692,0.240991,0.015576,347.960999,50.345238,56.040695,36,0
253,2549,0.462184,0.041091,0.435340,0.016981,0.183556,0.011210,210.876144,16.483692,73.799698,36,0
